document,line,claim_text,claim_text_sha256,metric,value,run_or_file,status,match_result,classification
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,1,# Phase 2 protocol-affected evidence notice (2026-07-22),4019a140f9efa86170bf90aad3232dfc825a26632e279dac53f20c5aaafb76db,quantitative statement or design constant,2;2026;-07;-22,phase2_postinv/;phase2_f2bdead/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,3,"**Status: binding withdrawal notice, committed before the Phase 2 protocol-v2 rerun.**",2d3fd768d99acdbd86ab34fedbb0f918c00860e5bcf732839be874c7c06b7bc7,quantitative statement or design constant,2,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,5,"The existing Phase 2 numerical results are historical, protocol-affected findings. They",533bbb84c915322e8bf71f6c2c8632bd6da3a6aa1c4f530126b7f1f5eaad2a6f,quantitative statement or design constant,2,phase2_postinv/;phase2_f2bdead/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,7,current interpretation of the §9.10 post-inversion record (3 of 8 Tier-1 recovery cells,e31883a1ddd46230dd5b1942795ce91b36e2e51e55324ec24f2e97534d8e9f4d,quantitative statement or design constant,9.10;3;8;1,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,9,"`docs/thesis_chapter_phase2.md` §5–§7, the Phase 2.6 KG-silent descriptives (run",eb678864d77b063363a4f7575eee9ba49f95a3d8688fb23d06c83d55d219519a,quantitative statement or design constant,5;7;2.6,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,10,"29157197853), the Phase 2.7 multi-blind exploratory result (run 29187088096), and every",a833966713d6120f535d84a6e84a381164974c3e323b897fc3a092873575596c,quantitative statement or design constant,29157197853;2.7;29187088096,phase2_postinv/;phase2_f2bdead/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,11,"""zero false positives"" / ""detection recall 100%"" claim.",3ff1d19e11dcce108e1cce237c0911131b28881e95a6078604d72212db20e0b9,quantitative statement or design constant,100,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,15,1. **Adaptation scenario scheduler.** The adaptation loop and the greedy goal-rate,b2b4b8b20df0df7e5d204b821c50437baa3a4e26dcc1091ab86e00d7e693a5d4,quantitative statement or design constant,1,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,16,   certification loop both requested integer scenario IDs from 1 through the scenario,02fb8b9d208822c31d51537cb350b606c9160fd2d691b6a2b4e84db9cb34ecd5,quantitative statement or design constant,1,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,20,"   approximately 27.3% of lab2-family, 30.0% of lab3/labmon2-family, and 16.7% of",116b69b5e7c35c7044ce8c105a481e1b31c71a0e022a41d7ca4c3c363e08cc95,quantitative statement or design constant,27.3;30.0;16.7,docs/PHASE2_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
