document,line,claim_text,claim_text_sha256,metric,value,run_or_file,status,match_result,classification
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,1,# Phase 4 protocol-affected evidence notice (2026-07-22),c666fa85167f01f34862abad591c28ccb1a5dd8e27b0207cc2f06843becb0d99,quantitative statement or design constant,4;2026;-07;-22,phase4_postinv/run_29193486193/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,3,"**Status: binding withdrawal notice, committed before the Phase 4 protocol-v2 rerun.**",5b976a09d7990c42d5a25c849a0c65fed33dd91a35a574f4b911c644def8de2d,quantitative statement or design constant,4,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,5,"The existing Phase 4 numerical results are historical, protocol-affected findings. They",05f1096f9084717f9be4224e2653248798cdcbc7eb940f27853e743fd6edbf56,quantitative statement or design constant,4,phase4_postinv/run_29193486193/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,7,"post-inversion ladder record (run `29193486193`, commit `d336fdf`, n=20 — `avg_redundant`",84861aae65605799243ba5182927ca726bd6681b78f30e1a517905ce19a6f14c,quantitative statement or design constant,29193486193;36;20,phase4_postinv/run_29193486193/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,8,−0.33 / −0.93 / −1.46 across lab4 / lab4dual / lab4chain; lab5 `energy_compliance`,80b903fdcbb587b980e344f973b16463abe5e02c6b17fedc48ff4722e6b81674,quantitative statement or design constant,0.33;0.93;1.46,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,9,"+0.096 with `mean_steady_power` −0.431), the pre-inversion record (run `27905392725`),",254bed8c1315a84ecf9e8c0a4a753239e68be8ed39fd0fa1dbb383c703c38855,quantitative statement or design constant,+0.096;0.431;27905392725,phase4_postinv/run_29193486193/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,10,and every per-cell value in `docs/PHASE4.md` §10/§10a and,6f07114ee1c0b3a24c12303b6749083df4aec8c0e96b38b3890b9e1dfd8b01df,quantitative statement or design constant,10;10,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,11,`docs/PHASE4_DEPENDENCY_LADDER.md` §10.,57a4c979c0a3bb9c6c7d650aa2b33107a9c48570f3a1462552a077ce119a81c8,quantitative statement or design constant,10,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,15,1. **Training scheduler.** At the run-of-record commit the shared training loop,79b99234513abb93462c5429be59367a8b2b83a72ccde2ebc572a53d796667e3,quantitative statement or design constant,1,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,16,   requested contiguous scenario IDs 1..count against non-contiguous files,dd1e03b7dc56caf09d949a1c92810f97093b9ccabc3090bcf74909394281de61,quantitative statement or design constant,1,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,17,"   (`train_scenarios_lab4/lab4dual/lab4chain/lab5.json` all miss IDs 3, 4, 8) and",2d18b7e144e33c626cf76dadf00b53f48f1649abe7c00f1717bf5deb6147b795,quantitative statement or design constant,3;4;8,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,18,   silently substituted unseeded random resets — approximately 30% of every cell's,5368818274f6e0154c58b4b5044ff60eccc1d80ba41d959fc85f651cb7744256,quantitative statement or design constant,30,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,19,"   training episodes — while declared training scenarios 11, 13, and 16 were **never",e29dcc3bd268fa93ba9a5d7f837d05fd5bb7328ff160856e5951f1139a18d851,quantitative statement or design constant,11;13;16,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,20,   presented**. This is the same defect that invalidated Phase 1 protocol v1.,530063eba3acddeedf1f1953277635fe93b512b1d1d18b8830ff314083f0b64d,quantitative statement or design constant,1,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,21,2. **Legacy benchmark schema.** The committed benchmark CSVs carry the legacy schema:,6d89deec0b5ea95517f407e433264bea1ab18722981eda252346678f90912e25,quantitative statement or design constant,2,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,25,3. **Stacked run mode.** The `phase4` run mode layered PBRS and adaptive trust on the KG,f6a713abbe5c661cad8e25ca781d0bb53711030ce533b2d1c73cbe58dc694bc0,quantitative statement or design constant,3,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,26,   prior — the arm-D bundling whose attribution the Phase-1 correction showed to be,91f7da0678c5c1bc2013c9d88f6887a506ee3e951589a43687b54283a0ca174e,quantitative statement or design constant,1,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,28,"   lab5 energy prior, so corrected Phase-4 effects are attributable to the same",ef6af41687cc33eb79c830504509cce64ce58dae6fb5e3fbdef6e849210d4e49,quantitative statement or design constant,4,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,29,   treatment as corrected Phase 1.,a726ef927d2b10fe7520f0dc4626117c1fed17b9c79f9975055ca2fc2dea5e41,quantitative statement or design constant,1,docs/PHASE4_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
