document,line,claim_text,claim_text_sha256,metric,value,run_or_file,status,match_result,classification
docs/_audit/THESIS_STATE_REPORT.md,3,> **PHASE 1 PROTOCOL V2 IS CURRENT (2026-07-22).** The current result is summarized in,98e4aebacab68fc4ff92972400d27dd6a6fbace6a1d3caeeb00dfbef455af5cd,quantitative statement or design constant,1;2026;-07;-22,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,4,> the executive table and §5 and reported fully in `docs/phase1_results_v2.md`. Every,045ad63642e74aac5fb57e8a0d32f7ea5fc70939ca29a730265de59b62f41607,quantitative statement or design constant,5,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,5,> protocol-v1 Phase 1 result retained later in this chronological report—including the,69f0054432a89752cc9f4f3bb1effdc88fdd8834f92a322d6077057b844c0c49,quantitative statement or design constant,1,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,6,"> pooled-20 headline, `+53.30 mean_first_goal`, legacy energy, redundancy, baseline, and",1fbcddafce6155800e69f3b3b3166c7561e56e36ae6d26ed9b811a43158505c7,mean_first_goal,20;+53.30,phase1_postinv/historical_raw/run_29639767776;phase1_postinv/historical_raw/run_29692725784,historical value only; scheduler/first-goal/energy protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/_audit/THESIS_STATE_REPORT.md,8,> `docs/PHASE1_PROTOCOL_AFFECTED_NOTICE_2026-07-21.md`. Later phases are unaffected.,00450f2b458ae58e8d4fc92e76ddd0d4e21a9e4f441b0380bb147907391e4014,quantitative statement or design constant,026;-07;-21,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,10,**Assembled:** 2026-07-08; Phase 1 corrected through 2026-07-22. Original audit notes:,9d033ce86124f39968bb9d8b40a007f5f5bd12a0b33865153626936cbfb6c01d,quantitative statement or design constant,2026;-07;-08;1;2026;-07;-22,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,11,"`docs/_audit/00_inventory.md`, `01_kg.md`,",337993267c025e884ec6e95fe94d53eb6d9360dd31990b4f0d8c03c90a081b0e,quantitative statement or design constant,00;01,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,12,"`02_qlearning.md`, `03_agents_flow.md`, `04_labs_physics.md`, `05_results_index.md`,",7329d57598ddce02132154b308baed9ee75d288cf59b70224ba8aca850d1699c,quantitative statement or design constant,02;03;04;05,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,13,"`20_results_extracted.md`, and the caveats in `13_logic_report.md`.",f83f289d0b4702dc726a25dbba80dcf742cd664db74f44efc94c5af3c7fb12c1,quantitative statement or design constant,20;13,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/_audit/THESIS_STATE_REPORT.md,14,"**§11 (value-laden parameters: provenance, external grounding, open judgments) added 2026-07-09.**",32ac191f586322e3c1d7147ad2883357af7b0719b05d1a981b558f5e4b726267,quantitative statement or design constant,11;2026;-07;-09,docs/_audit/THESIS_STATE_REPORT.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
