profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab2,ql_false,80,0.9375,2.25,4.875,12.5375,2.1875,0.375,2.5625,0,0,0,0,0
lab2,ql_true,80,1.0,1.75,5.5625,11.275,1.6875,1.0625,2.75,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.7375,0.9125,0.25,1.1625,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,1.125,2.75,13.3875,1.0375,0.5625,1.6,0,0,0,0,0
lab3,ql_true,80,1.0,1.1875,2.9375,14.6125,1.125,0.625,1.75,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.1875,12.8375,0.825,0.3125,1.1375,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
