profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab2,ql_false,80,0.9375,2.4375,5.75,12.475,2.4,0.5625,2.9625,0,0,0,0,0
lab2,ql_true,80,1.0,1.125,3.8125,10.0125,1.0625,0.4375,1.5,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.7375,0.9,0.25,1.15,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,1.0,2.375,12.4375,0.9125,0.4375,1.35,0,0,0,0,0
lab3,ql_true,80,1.0,1.1875,2.75,15.2125,1.125,0.625,1.75,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.1875,12.9125,0.8,0.3125,1.1125,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
