profile,backend,seed,scenario_id,sunshine,goal_reached,steps,redundant_actions,steady_power,energy_budget,compliant,trace
lab4,general,1,1,0,1,3,1,2.0,nan,1,SetZ1Light=true;SetPlugZ1=true;SetZ2Light=true
lab4,general,1,2,0,1,0,0,2.0,nan,1,
lab4,general,1,3,0,1,1,0,2.0,nan,1,SetPlugZ1=true
lab4,general,1,4,0,1,1,1,2.0,nan,1,SetSpotlight=false
lab4,general,1,5,100,1,3,1,2.0,nan,1,SetZ1Light=true;SetPlugZ1=true;SetZ2Light=true
lab4,general,1,6,100,1,0,0,2.0,nan,1,
lab4,general,1,7,100,1,1,0,2.0,nan,1,SetZ2Light=true
lab4,general,1,8,100,1,2,1,3.0,nan,1,SetZ1Light=true;SetPlugZ1=true
lab4,general,1,9,400,1,3,1,1.0,nan,1,SetZ1Blinds=true;SetZ1Light=true;SetPlugZ1=true
lab4,general,1,10,400,1,0,0,2.0,nan,1,
lab4,general,1,11,400,1,1,0,1.0,nan,1,SetZ1Blinds=true
lab4,general,1,12,400,1,1,1,2.0,nan,1,SetSpotlight=false
lab4,general,1,13,900,1,1,0,0.0,nan,1,SetZ1Blinds=true
lab4,general,1,14,900,1,0,0,2.0,nan,1,
lab4,general,1,15,900,1,1,0,0.0,nan,1,SetZ1Blinds=true
lab4,general,1,16,900,1,0,0,0.0,nan,1,
lab4,general,2,1,0,1,3,1,2.0,nan,1,SetZ1Light=true;SetPlugZ1=true;SetZ2Light=true
lab4,general,2,2,0,1,0,0,2.0,nan,1,
lab4,general,2,3,0,1,1,0,2.0,nan,1,SetPlugZ1=true
lab4,general,2,4,0,1,1,1,2.0,nan,1,SetSpotlight=false
lab4,general,2,5,100,1,3,1,2.0,nan,1,SetZ1Light=true;SetPlugZ1=true;SetZ2Light=true
lab4,general,2,6,100,1,0,0,2.0,nan,1,
lab4,general,2,7,100,1,1,0,2.0,nan,1,SetZ2Light=true
lab4,general,2,8,100,1,2,1,3.0,nan,1,SetZ1Light=true;SetPlugZ1=true
lab4,general,2,9,400,1,3,1,1.0,nan,1,SetZ1Blinds=true;SetZ1Light=true;SetPlugZ1=true
lab4,general,2,10,400,1,0,0,2.0,nan,1,
lab4,general,2,11,400,1,1,0,1.0,nan,1,SetZ1Blinds=true
lab4,general,2,12,400,1,1,1,2.0,nan,1,SetSpotlight=false
lab4,general,2,13,900,1,1,0,0.0,nan,1,SetZ1Blinds=true
lab4,general,2,14,900,1,0,0,2.0,nan,1,
lab4,general,2,15,900,1,1,0,0.0,nan,1,SetZ1Blinds=true
lab4,general,2,16,900,1,0,0,0.0,nan,1,
