profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_wasted,avg_cycling,avg_redundant,avg_policy_energy,avg_legacy_wallclock_energy,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,0.925,2.6,2.75,1.625,0.975,2.6,4.975,15.975,0,0,0,0,0
lab4,ql_true,80,1.0,0.875,0.625,0.0,0.875,0.875,2.1875,13.125,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,0.5625,0.0,1.125,1.125,2.0625,12.5875,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab4chain,ql_false,80,1.0,1.4625,1.625,0.3375,1.125,1.4625,3.15,14.2625,0,0,0,0,0
lab4chain,ql_true,80,1.0,0.9375,0.6875,0.0,0.9375,0.9375,2.1875,13.45,0,0,0,0,0
lab4chain,rule_based,80,1.0,1.4375,0.875,0.0,1.4375,1.4375,2.6875,13.2375,0,0,0,0,0
lab4chain,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4chain,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab4dual,ql_false,80,1.0,1.5875,3.4875,0.2875,1.3,1.5875,2.7875,12.65,0,0,0,0,0
lab4dual,ql_true,80,1.0,1.2625,1.4,0.0,1.2625,1.2625,3.1125,14.4875,0,0,0,0,0
lab4dual,rule_based,80,1.0,1.5625,2.625,0.0,1.5625,1.5625,2.75,12.5625,0,0,0,0,0
lab4dual,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4dual,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.6875,0.375,0.0,0.6875,0.6875,2.1875,20.3625,0,0,0,0,0
lab5,ql_true,80,1.0,0.875,1.0625,0.0625,0.8125,0.875,1.75,19.2375,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,0.25,0.0,0.6875,0.6875,1.125,17.7125,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,,0,0,0,0,0
