profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab2,ql_false,80,1.0,1.25,4.125,10.6875,1.15,0.5625,1.7125,0,0,0,0,0
lab2,ql_true,80,1.0,1.0625,3.6875,10.225,1.025,0.375,1.4,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.7125,0.875,0.25,1.125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,0.9375,2.0625,3.375,19.7375,2.0125,0.3125,2.325,0,0,0,0,0
lab3,ql_true,80,0.9375,2.3125,3.875,17.7125,2.2875,1.75,4.0375,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.1875,13.3375,0.7625,0.3125,1.075,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
