profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_wasted,avg_cycling,avg_redundant,avg_policy_energy,avg_legacy_wallclock_energy,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.55,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.45,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.625,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,0.9375,3.0875,6.9375,0.475,2.6125,3.0875,3.575,14.7875,0,0,0,0,0
lab2,ql_true,80,1.0,1.3125,1.6875,0.0,1.3125,1.3125,1.75,10.1625,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,0.75,0.0,0.9375,0.9375,1.625,9.6125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,0.9625,1.9625,1.775,0.7875,1.175,1.9625,3.3375,16.3375,0,0,0,0,0
lab3,ql_true,80,0.9375,2.5,2.25,1.25,1.25,2.5,3.9375,17.95,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,0.3125,0.0,0.875,0.875,1.6875,12.9875,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,,0,0,0,0,0
