evidence_id,product_scope,evidence_label,research_status,claim_or_object,input_sources,metric,value,derivation_method,statistical_integrity_status,analysis_script_ref,exact_command,notes
S9T-001,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,POST_HOC_EXPLORATORY;ENGINEERING_VALIDATION,Phase 2 R2 evidence table data-row count,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,data_rows,521,ROW_COUNT_FROM_CSV,COUNT_REPRODUCED_BY_STAGE9_SCRIPT,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Header is excluded from data-row count.
S9T-002,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,UNRESOLVED,ENGINEERING_VALIDATION,Phase 2 R2 verification-status count: DIRECT_ANALYSIS_OUTPUT_RESAMPLING_NOT_RECOMPUTED,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,verification_status=DIRECT_ANALYSIS_OUTPUT_RESAMPLING_NOT_RECOMPUTED,116,GROUP_COUNT_FROM_CSV,BOOTSTRAP_OUTPUT_NOT_INDEPENDENTLY_RESAMPLED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Counts reproduce the Stage 8/R2 verification-status partition.
S9T-003,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,ENGINEERING_VALIDATION,Phase 2 R2 verification-status count: VERIFIED_DETERMINISTIC_FROM_RAW,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,verification_status=VERIFIED_DETERMINISTIC_FROM_RAW,306,GROUP_COUNT_FROM_CSV,RECOMPUTED_OR_EXACT_CHECKED_BY_STAGE8_EXTRACTOR,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Counts reproduce the Stage 8/R2 verification-status partition.
S9T-004,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,ENGINEERING_VALIDATION,Phase 2 R2 verification-status count: VERIFIED_DETERMINISTIC_OR_EXACT_TEST,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,verification_status=VERIFIED_DETERMINISTIC_OR_EXACT_TEST,99,GROUP_COUNT_FROM_CSV,RECOMPUTED_OR_EXACT_CHECKED_BY_STAGE8_EXTRACTOR,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Counts reproduce the Stage 8/R2 verification-status partition.
S9T-005,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,ENGINEERING_VALIDATION,Phase 2 R2 check-failed row count,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,verification_status=CHECK_FAILED_OR_NOT_RECOMPUTED,0,FILTER_COUNT_FROM_CSV,NO_CHECK_FAILURE_ROWS_IN_STAGE9_INPUT_TABLE,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,"This audits the Stage 8/R2 verifier output, not the original Python bootstrap."
S9T-006,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,UNRESOLVED,ENGINEERING_VALIDATION,Phase 2 bootstrap-output fields by record type: final_ci_metric,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,record_type=final_ci_metric; verification_status=DIRECT_ANALYSIS_OUTPUT_RESAMPLING_NOT_RECOMPUTED,72,FILTER_GROUP_COUNT_FROM_CSV,BOOTSTRAP_OUTPUT_NOT_INDEPENDENTLY_RESAMPLED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,These are CI and bootstrap-p fields carried from analysis CSVs.
S9T-007,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,UNRESOLVED,ENGINEERING_VALIDATION,Phase 2 bootstrap-output fields by record type: final_paired_metric,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,record_type=final_paired_metric; verification_status=DIRECT_ANALYSIS_OUTPUT_RESAMPLING_NOT_RECOMPUTED,44,FILTER_GROUP_COUNT_FROM_CSV,BOOTSTRAP_OUTPUT_NOT_INDEPENDENTLY_RESAMPLED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,These are CI and bootstrap-p fields carried from analysis CSVs.
S9T-008,MANUSCRIPT_EVIDENCE,DIRECT,ENGINEERING_VALIDATION;POST_HOC_EXPLORATORY,Phase 2 well-posed RecoveryEpisodes paired-family size,origin/results@22a448be5d9829751badd341904e36ed582f091f:phase2/27547019772-20260615-183138/analysis_out/phase2_recovery_paired.csv:L1-L12,metric=RecoveryEpisodes; row_count,2,FILTER_COUNT_FROM_COMMITTED_CSV,RECOVERY_FAMILY_RESTRICTED_TO_WELL_POSED_PROFILES,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Rows are lab3_f1dead and lab3_f1inv only.
S9T-009,MANUSCRIPT_EVIDENCE,DIRECT,ENGINEERING_VALIDATION;POST_HOC_EXPLORATORY,Phase 2 DetectEpisode paired-family size,origin/results@22a448be5d9829751badd341904e36ed582f091f:phase2/27547019772-20260615-183138/analysis_out/phase2_recovery_paired.csv:L1-L12,metric=DetectEpisode; row_count,9,FILTER_COUNT_FROM_COMMITTED_CSV,DETECTION_LATENCY_FAMILY_INCLUDES_ALL_PROFILES,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,"This is descriptive engineering evidence, not the headline recovery-speed family."
S9T-010,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,POST_HOC_EXPLORATORY,Phase 1 evidence table data-row count,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,data_rows,480,ROW_COUNT_FROM_CSV,COUNT_REPRODUCED_BY_STAGE9_SCRIPT,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Header is excluded from data-row count.
