"observedAtUtc","runId","artifactId","artifactName","sizeInBytes","digest","expired","createdAt","expiresAt","archiveDownloadUrl"
"2026-06-16T13:36:27.7201156Z","27547019772","7640774539","adapt-lab3_f1dead-ql_true-seed-8","85652","sha256:aba5450c307b9d34f4b006c33a8ac4c704de5da2e808caf7d33cfdf0f73fc36c","False","2026-06-15T14:16:26Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640774539/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7640778799","adapt-lab2_f1dead-ql_false-seed-8","1169636","sha256:5255b7fbf4bf1b7395469c3604e6d1723eb1bef6c07299c120e194fa5962e938","False","2026-06-15T14:16:35Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640778799/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7640897004","adapt-lab2_f2dead-ql_true-seed-3","1141233","sha256:30ec58ecbc54f94a9e2f202494ad12e0b15ff415978f9f21d6979b325a00f7c4","False","2026-06-15T14:20:46Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640897004/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7640950650","adapt-lab2_f2dead-ql_true-seed-2","1153366","sha256:1a332b5dbe36256892d96c8cdf0ecf68541df2225e09972b8f646f9cbae2f9bc","False","2026-06-15T14:22:38Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640950650/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7640951134","adapt-lab2_f2dead-ql_true-seed-4","1142322","sha256:b8ea95c75d946af8709fd8f1464bb9028e5eeff6522a823bda82d42a2ad8eafd","False","2026-06-15T14:22:39Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640951134/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7640958880","adapt-lab2_f1inv-ql_false-seed-6","1167526","sha256:96fce42d0d8c948c9a058e108ede21aacf3ad848e14779023f764c0c446bed73","False","2026-06-15T14:22:56Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7640958880/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7641026336","adapt-lab3_f1dead-ql_false-seed-9","69612","sha256:5c9d1b7c68944e6eb3c9a7cf5f4787708c9e5071d8b325f50a52b5627f219e92","False","2026-06-15T14:25:19Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7641026336/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7641113914","adapt-lab2_f1inv-ql_false-seed-7","1198566","sha256:fa1b8cd5d2339a4aa4a1d026420ed7014af3214d8c6c0a7e1493ec76d292733f","False","2026-06-15T14:28:20Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7641113914/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7641174409","adapt-lab2_f2inv-ql_true-seed-3","1160704","sha256:8a12d50bbc5875fb112b770b2132f6015b05dea2c64f16d0245c36cb6ae04990","False","2026-06-15T14:30:29Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7641174409/zip"
"2026-06-16T13:36:27.7201156Z","27547019772","7641193634","adapt-lab2_f2dead-ql_false-seed-1","1151859","sha256:a4cce3e5b7188ec619c295ca490cfe4065dd87052e255929b45e4860013ced7b","False","2026-06-15T14:31:09Z","2026-09-13T12:43:12Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7641193634/zip"
