"observedAtUtc","snapshotRow","runId","workflowName","event","status","conclusion","headBranch","headSha","createdAt","updatedAt","url","displayTitle","artifactCount","jobCount","dispatchInputs","artifactZipByteIdentity","notes"
"2026-06-17T12:37:31.9630183Z","85","27305796237","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","main","7543d15a6e6d36842ffd82f60b488b1a6dde99cd","2026-06-10T20:56:14Z","2026-06-10T21:43:57Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27305796237","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","88","27336756264","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","main","55c01063165bf06f53dd6359c20fcb8940af5cc0","2026-06-11T09:17:23Z","2026-06-11T10:05:23Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27336756264","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","89","27339902999","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","failure","main","55c01063165bf06f53dd6359c20fcb8940af5cc0","2026-06-11T10:15:40Z","2026-06-11T10:57:31Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27339902999","Phase 1 (KG acceleration, clean labs)","60","63","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","92","27342571251","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","main","7ac37a10fe3b3c23bc2b54159c40142fd367e821","2026-06-11T11:08:23Z","2026-06-11T11:41:03Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27342571251","Phase 1 (KG acceleration, clean labs)","102","102","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","93","27344626272","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","main","7ac37a10fe3b3c23bc2b54159c40142fd367e821","2026-06-11T11:48:45Z","2026-06-11T12:37:48Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27344626272","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","94","27347962788","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","failure","main","7ac37a10fe3b3c23bc2b54159c40142fd367e821","2026-06-11T12:50:05Z","2026-06-11T13:36:40Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27347962788","Phase 1 (KG acceleration, clean labs)","151","152","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","97","27440842780","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","kg-crosszone-coupling","866297d54750c91f4595962f9c975d2f1704f629","2026-06-12T20:21:40Z","2026-06-12T21:10:27Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27440842780","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Live API count captured before unauthenticated rate limit."
"2026-06-17T12:37:31.9630183Z","99","27461188614","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","kg-crosszone-coupling-bump","8a98cd82d64d6e4003c767a2b5a3a6d48a744ad1","2026-06-13T08:06:15Z","2026-06-13T08:50:23Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27461188614","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Count captured by individual Stage 6 API query before bulk capture rate limit."
"2026-06-17T12:37:31.9630183Z","100","27462446044","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","kg-crosszone-coupling-bump","8a98cd82d64d6e4003c767a2b5a3a6d48a744ad1","2026-06-13T09:06:20Z","2026-06-13T09:52:27Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27462446044","Phase 1 (KG acceleration, clean labs)","154","152","NOT FOUND","NOT VERIFIED","Count captured by individual Stage 6 API query before bulk capture rate limit; docs that state 152 artifacts are superseded for this count."
"2026-06-17T12:37:31.9630183Z","102","27463565168","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","failure","kg-crosszone-ablation","c633718766afb0c77f8fabd942f6e0aecdfa923d","2026-06-13T09:59:33Z","2026-06-13T10:43:52Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27463565168","Phase 1 (KG acceleration, clean labs)","NOT FOUND","NOT FOUND","NOT FOUND","NOT VERIFIED","Stage 6 API count query was rate-limited before this failed run could be counted."
"2026-06-17T12:37:31.9630183Z","104","27464846574","Phase 1 (KG acceleration, clean labs)","workflow_dispatch","completed","success","kg-crosszone-ablation","e8d63e09be504f1dc206737ca8feb05299fe1031","2026-06-13T10:59:44Z","2026-06-13T11:45:01Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27464846574","Phase 1 (KG acceleration, clean labs)","152","152","NOT FOUND","NOT VERIFIED","Count captured by individual Stage 6 API query before bulk capture rate limit."
