profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4,ql_false,80,1.0,1.125,3.1875,13.3125,1.0125,0.5625,1.575,0,0,0,0,0
lab4,ql_true,80,1.0,0.9375,2.875,13.0125,0.9125,0.375,1.2875,0,0,0,0,0
lab4,rule_based,80,1.0,1.125,2.75,12.225,1.0625,0.5625,1.625,0,0,0,0,0
lab4,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4,training_stereo_true,,,,,,,,,0,0,0,0,0
lab4chain,ql_false,80,0.9375,2.3125,4.8125,15.4125,2.275,0.5625,2.8375,0,0,0,0,0
lab4chain,ql_true,80,1.0,0.9375,2.875,13.325,0.8875,0.375,1.2625,0,0,0,0,0
lab4chain,rule_based,80,1.0,1.4375,3.0625,13.4,1.4,0.875,2.275,0,0,0,0,0
lab4chain,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4chain,training_stereo_true,,,,,,,,,0,0,0,0,0
lab4dual,ql_false,80,1.0,1.4375,4.375,12.4625,1.4125,0.875,2.2875,0,0,0,0,0
lab4dual,ql_true,80,1.0,1.1375,3.65,14.0875,1.0375,0.575,1.6125,0,0,0,0,0
lab4dual,rule_based,80,1.0,1.5625,5.125,12.825,1.425,1.0,2.425,0,0,0,0,0
lab4dual,training_stereo_false,,,,,,,,,0,0,0,0,0
lab4dual,training_stereo_true,,,,,,,,,0,0,0,0,0
lab5,ql_false,80,1.0,0.75,2.25,20.125,0.7,0.3125,1.0125,0,0,0,0,0
lab5,ql_true,80,1.0,0.8125,2.6875,18.8875,0.8,0.375,1.175,0,0,0,0,0
lab5,rule_based,80,1.0,0.6875,1.9375,17.8625,0.65,0.25,0.9,0,0,0,0,0
lab5,training_stereo_false,,,,,,,,,0,0,0,0,0
lab5,training_stereo_true,,,,,,,,,0,0,0,0,0
